BMED3081,The Teaching of Spatial Sense and Geometry,Education,Professor LAW Huk Yuen,100,4-00-02,WMY302,lorem ipsum dolor sit amet
ECON1010,Introduction to Microeconomics,Economics,Dr. LEE Wai Fong,120,3-00-01,CPD-LG.34,lorem ipsum dolor sit amet
MATH2010,Calculus I,Mathematics,Professor CHAN Tai Man,80,2-00-03,CPD-LG.62,lorem ipsum dolor sit amet
ENGL2050,Introduction to Literary Studies,English,Dr. WONG Siu Yin,60,4-00-01,TT303,lorem ipsum dolor sit amet
COMP1022Q,Introduction to Computing with Java,Computer Science,Dr. LAM Wing Cheong,120,2-00-02,TT304,lorem ipsum dolor sit amet
MUSI1001,Introduction to Music,Music,Professor LAI Chun Wah,50,1-00-02,CPD-3.28,lorem ipsum dolor sit amet
POLI1001,Introduction to Politics,Political Science,Dr. CHAN Ka Lok,70,3-00-01,TT305,lorem ipsum dolor sit amet
CHEM1001,General Chemistry,Chemistry,Professor HO Wai Kin,90,4-00-02,CPD-LG.63,lorem ipsum dolor sit amet
LANG1001,Introduction to Language Studies,Linguistics,Dr. NG Sze Wing,60,1-00-01,TT307,lorem ipsum dolor sit amet
ACCT2010,Financial Accounting I,Accounting,Dr. LEE Ka Wai,80,3-00-02,TT308,lorem ipsum dolor sit amet
MGMT1001,Introduction to Management,Management,Dr. CHAN Ka Wai,100,2-00-03,CPD-3.29,lorem ipsum dolor sit amet
PSYC1001,Introduction to Psychology,Psychology,Professor WONG Wai Ming,70,4-00-01,CPD-LG.64,lorem ipsum dolor sit amet
HIST1001,Introduction to History,History,Dr. LAM Sze Man,60,3-00-01,TT309,lorem ipsum dolor sit amet
SOC1001,Introduction to Sociology,Sociology,Dr. YIP Kai Chun,80,2-00-02,CPD-3.30,lorem ipsum dolor sit amet
PHIL1001,Introduction to Philosophy,Philosophy,Professor CHAN Lai Wan,50,1-00-02,TT312,lorem ipsum dolor sit amet
ARTS1001,Introduction to Arts and Humanities,Arts and Humanities,Dr. CHAN Kwok Wai,60,4-00-02,CPD-LG.65,lorem ipsum dolor sit amet
GEOG1001,Introduction to Geography,Geography,Professor WONG Siu Ming,70,3-00-01,TT314,lorem ipsum dolor sit amet
BIOL1001,Introduction to Biology,Biology,Dr. LEE Yiu Fai,90,2-00-03,CPD-LG.66,lorem ipsum dolor sit amet
ARCH1001,Introduction to Architecture,Architecture,Dr. HO Wing Yee,40,1-00-01,TT315,lorem ipsum dolor sit amet
CENG1001,Introduction to Civil Engineering,Civil Engineering,Professor LEUNG Chun Fai,80,3-00-02,CPD-3.31,lorem ipsum dolor sit amet
